Point_ID,Revisited_point,Coarse,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Elevation,LC1,LU1,Soil_Stones,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC1_Desc,LU1_Desc
49722812,Yes,,,,,7.3,7.58,13.09,16.5,41,33.4,1.8,537.2,143,B13,U111,1,SK,SK0,SK02,SK023,Barley,Agriculture (excluding fallow land and kitchen gardens)
49602810,Yes,,,,,7.6,7.79,16.03,25.2,0,39.8,2.2,238.1,141,B16,U111,1,SK,SK0,SK02,SK023,Maize,Agriculture (excluding fallow land and kitchen gardens)
49742784,Yes,,,,,7.2,7.44,16.46,15.4,7,34.8,1.6,105,109,B33,U111,1,SK,SK0,SK02,SK023,Soya,Agriculture (excluding fallow land and kitchen gardens)
49702798,Yes,,,,,7.7,7.78,18.17,20.2,80,22.6,2.1,257.8,197,B35,U111,1,SK,SK0,SK02,SK023,Other fibre and oleaginous crops,Agriculture (excluding fallow land and kitchen gardens)
50142958,Yes,,,,,5.3,5.57,6.63,20.4,1,12.8,2.5,64.8,603,E20,U111,1,SK,SK0,SK03,SK031,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
49662816,Yes,,,,,6.6,6.64,7.78,9.6,0,18.3,1.1,113.8,137,B16,U111,1,SK,SK0,SK02,SK023,Maize,Agriculture (excluding fallow land and kitchen gardens)
49582782,Yes,,,,,6.9,7.03,10.18,24.4,1,34.3,2.5,340.4,129,E30,U420,1,SK,SK0,SK02,SK023,Spontaneously re-vegetated surfaces,Semi-natural and natural areas not in use
49982866,Yes,,,,,6,6.07,12.31,35.9,0,34.9,3.3,366.4,451,C10,U120,3,SK,SK0,SK03,SK032,Broadleaved woodland,FORESTRY
49942854,Yes,,,,,5,5.32,6.77,13.5,0,42.9,1.6,300.9,459,B53,U111,1,SK,SK0,SK03,SK032,Other Leguminous  and mixtures for fodder,Agriculture (excluding fallow land and kitchen gardens)
49562968,Yes,,,,,4.5,4.87,7.74,31.1,0,13.4,3.2,146.4,499,E20,U111,1,SK,SK0,SK03,SK031,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
51502898,Yes,,,,,5.4,5.72,8.15,11.6,0,25.5,1.5,133.4,151,B11,U111,1,SK,SK0,SK04,SK042,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
51462892,Yes,,,,,6,6.19,8.23,14,0,23,1.8,141.4,208,B11,U111,1,SK,SK0,SK04,SK042,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
51722942,Yes,,,,,7.5,7.7,16.1,17.5,186,7.8,1.8,283.6,226,B33,U111,3,SK,SK0,SK04,SK041,Soya,Agriculture (excluding fallow land and kitchen gardens)
49782958,Yes,,,,,7.3,7.52,16.62,17.3,20,6.4,1.6,152,720,A22,U120,2,SK,SK0,SK03,SK031,Non built-up linear features,FORESTRY
49982938,Yes,,,,,6.8,6.92,21.8,50.3,3,6.4,5.6,154.6,630,E20,U120,1,SK,SK0,SK03,SK031,Grassland without tree/shrub cover,FORESTRY
50002878,Yes,,,,,6.9,7.16,10.91,19.3,5,34,2.3,152.3,361,B55,U111,1,SK,SK0,SK03,SK032,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens)
50102888,Yes,,,,,4.4,4.77,8.24,40.8,0,23.4,4.3,319.2,697,E20,U111,1,SK,SK0,SK03,SK032,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
49982916,Yes,,,,,6.8,6.89,25.5,42.8,41,14.3,3.9,93,563,C10,U420,1,SK,SK0,SK03,SK031,Broadleaved woodland,Semi-natural and natural areas not in use
50022924,Yes,,,,,5.1,5.46,6.99,27.9,1,37,3.3,68.7,616,E20,U111,1,SK,SK0,SK03,SK031,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
49882816,Yes,,,,,5.6,6.02,9.11,19.2,1,22.8,2.2,184.3,234,B32,U111,1,SK,SK0,SK02,SK023,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens)
50142882,Yes,,,,,4.4,4.72,13.14,81.2,1,25.8,6.5,264.7,778,C31,U120,1,SK,SK0,SK03,SK032,Spruce dominated mixed woodland,FORESTRY
49742816,Yes,,,,,4.9,5.22,8.89,31.9,1,11.6,3.1,275,140,E10,U420,1,SK,SK0,SK02,SK023,Grassland with sparse tree/shrub cover,Semi-natural and natural areas not in use
50022870,Yes,,,,,5.2,5.51,5.11,15.4,0,36.3,1.6,147.8,341,E20,U111,1,SK,SK0,SK03,SK032,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
51282946,Yes,,,,,6.5,6.71,17.64,17.6,1,23.1,2.5,213.7,346,B13,U111,1,SK,SK0,SK04,SK041,Barley,Agriculture (excluding fallow land and kitchen gardens)
49942944,Yes,,,,,6.2,6.33,10.1,37.6,1,6.2,4,153.9,580,E20,U111,1,SK,SK0,SK03,SK031,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
50022946,Yes,,,,,4.7,5.08,8.25,36.4,0,8.6,4.5,138.4,580,E20,U111,1,SK,SK0,SK03,SK031,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
50182954,Yes,,,,,4.2,4.77,6.87,18.2,1,19.6,2,65.6,874,C10,U420,1,SK,SK0,SK03,SK031,Broadleaved woodland,Semi-natural and natural areas not in use
49982962,Yes,,,,,4.2,4.65,7.97,34.1,1,31.6,4.1,138.6,725,E20,U111,1,SK,SK0,SK03,SK031,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
49982970,Yes,,,,,4,4.35,9.42,38.2,1,12.6,3.2,93.3,859,C21,U120,1,SK,SK0,SK03,SK031,Spruce dominated coniferous woodland,FORESTRY
50022978,Yes,,,,,4.9,5.19,16.15,28.2,0,10,3.6,119.2,727,E20,U111,1,SK,SK0,SK03,SK031,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
49782822,Yes,,,,,5.9,6.19,5.31,14.4,0,14.7,1.7,170.5,164,B13,U111,1,SK,SK0,SK02,SK023,Barley,Agriculture (excluding fallow land and kitchen gardens)
49442902,Yes,,,,,6.8,6.9,65.6,158.7,18,20.8,10.4,158.3,676,C10,U120,3,SK,SK0,SK02,SK022,Broadleaved woodland,FORESTRY
49862930,Yes,,,,,7,7.27,22.4,130.3,91,17.2,6.8,145.8,567,D20,U319,1,SK,SK0,SK03,SK031,Shrubland without tree cover," Electricity, gas and thermal power distribution"
49822900,Yes,,,,,6.9,7.09,31,90.4,65,10.7,7.2,105.4,997,C10,U120,1,SK,SK0,SK03,SK032,Broadleaved woodland,FORESTRY
48482874,Yes,,,,,7.1,7.48,15.57,17.1,2,70.2,1.8,268.2,241,B16,U111,1,SK,SK0,SK02,SK021,Maize,Agriculture (excluding fallow land and kitchen gardens)
50722882,Yes,,,,,6.3,6.58,12.01,50.3,2,6.7,4.2,245.8,317,E10,U420,4,SK,SK0,SK03,SK032,Grassland with sparse tree/shrub cover,Semi-natural and natural areas not in use
51822906,Yes,,,,,7.1,7.36,15.58,24.1,2,35.4,3,319.4,110,B33,U111,1,SK,SK0,SK04,SK042,Soya,Agriculture (excluding fallow land and kitchen gardens)
49082812,Yes,,,,,7.4,7.84,18.36,23.8,61,156.9,2.7,729.5,82,B13,U111,1,SK,SK0,SK02,SK023,Barley,Agriculture (excluding fallow land and kitchen gardens)
47142532,Yes,,,,,4.4,4.95,4.59,15.8,0,3.3,1.4,49.8,493,C10,U120,1,SI,SI0,SI03,SI037,Broadleaved woodland,FORESTRY
47142600,Yes,,,,,6.9,7.1,25.2,36.1,32,17.6,4.1,101.3,477,E20,U111,1,SI,SI0,SI03,SI034,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
46962618,Yes,,,,,4.8,5.17,9.52,17.9,1,16.1,1.4,59.4,598,C10,U120,2,SI,SI0,SI03,SI033,Broadleaved woodland,FORESTRY
47602602,Yes,,,,,4.3,4.67,15.98,40.8,0,22.5,4.2,120,250,C31,U120,1,SI,SI0,SI03,SI032,Spruce dominated mixed woodland,FORESTRY
46682514,Yes,,,,,6.4,6.58,19.08,41.4,37,5.2,2.7,66.8,859,C31,U120,4,SI,SI0,SI03,SI038,Spruce dominated mixed woodland,FORESTRY
47082516,Yes,,,,,6.1,6.31,11.8,58.1,2,6.7,4.4,123.1,693,C10,U120,4,SI,SI0,SI03,SI037,Broadleaved woodland,FORESTRY
48102638,Yes,,,,,4,4.45,7.49,28.2,0,11.3,2.3,61.7,209,C10,U120,1,SI,SI0,SI03,SI031,Broadleaved woodland,FORESTRY
46742542,Yes,,,,,6.3,6.74,10.82,38.2,18,3.4,3,53.3,642,E20,U111,1,SI,SI0,SI04,SI041,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
47482608,Yes,,,,,5.1,5.53,25.8,29.6,0,74.2,2.1,202.9,702,E20,U111,1,SI,SI0,SI03,SI032,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
47222518,Yes,,,,,6.5,6.83,8.09,27.8,1,4.5,2.5,123.9,518,C10,U120,1,SI,SI0,SI03,SI037,Broadleaved woodland,FORESTRY
46982534,Yes,,,,,5.9,6.26,9.13,29.8,0,3.9,2.7,61.4,424,D10,U420,3,SI,SI0,SI04,SI041,Shrubland with sparse tree cover,Semi-natural and natural areas not in use
47302522,Yes,,,,,4.1,4.55,3.65,15.9,0,3.3,1.3,47.8,297,C10,U120,1,SI,SI0,SI03,SI037,Broadleaved woodland,FORESTRY
46422528,Yes,,,,,5.3,5.58,5.54,30.6,0,6.1,3.1,78.6,526,E20,U111,1,SI,SI0,SI03,SI038,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
47282530,Yes,,,,,3.9,4.32,5.91,26.1,0,7.6,2.4,68.6,334,C10,U120,1,SI,SI0,SI03,SI037,Broadleaved woodland,FORESTRY
46842534,Yes,,,,,6.9,7.07,25.2,92.4,43,11.3,6.1,272.1,636,C31,U120,1,SI,SI0,SI04,SI041,Spruce dominated mixed woodland,FORESTRY
47402604,Yes,,,,,7.1,7.32,20.4,46.6,33,21,2.6,50.3,683,E20,U111,1,SI,SI0,SI03,SI032,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
47302554,Yes,,,,,4.3,4.87,5.17,22,1,0,1.5,96.8,507,C10,U120,1,SI,SI0,SI03,SI036,Broadleaved woodland,FORESTRY
47222554,Yes,,,,,7.3,7.69,16.18,24.3,135,12.5,2.8,136,263,B19,U111,1,SI,SI0,SI03,SI036,Other cereals,Agriculture (excluding fallow land and kitchen gardens)
46902580,Yes,,,,,6.9,7.16,26.3,83,45,17.9,6,139.6,678,C31,U120,2,SI,SI0,SI04,SI041,Spruce dominated mixed woodland,FORESTRY
47182586,Yes,,,,,5.8,6.28,10.49,22.3,0,34,2.5,173.4,270,B43,U111,2,SI,SI0,SI03,SI034,Other fresh vegetables,Agriculture (excluding fallow land and kitchen gardens)
47402582,Yes,,,,,7.1,7.33,16.69,29.8,40,27.3,3.2,141.2,257,B11,U111,1,SI,SI0,SI03,SI034,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
46582576,Yes,,,,,6.5,6.61,12.57,54.7,5,10.2,4.2,136,385,C32,U120,1,SI,SI0,SI04,SI042,Pine dominated mixed woodland,FORESTRY
47082598,Yes,,,,,4,4.38,21.4,74.2,0,55.1,4.2,190.6,477,C31,U120,1,SI,SI0,SI03,SI034,Spruce dominated mixed woodland,FORESTRY
47582608,Yes,,,,,4.8,5.09,30.6,54.3,0,63.5,5.8,164.2,265,E20,U111,1,SI,SI0,SI03,SI032,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
