POINT_ID,SURVEY_SOIL_ORG_CULTIVATED,SURVEY_SOIL_ORG_DEPTH_P_CM,SURVEY_SOIL_ORG_DEPTH_N_CM,SURVEY_SOIL_ORG_DEPTH_E_CM,SURVEY_SOIL_ORG_DEPTH_S_CM,SURVEY_SOIL_ORG_DEPTH_W_CM,SURVEY_SOIL_ORG_DEPTH_P_40_CM,SURVEY_SOIL_ORG_DEPTH_N_40_CM,SURVEY_SOIL_ORG_DEPTH_E_40_CM,SURVEY_SOIL_ORG_DEPTH_S_40_CM,SURVEY_SOIL_ORG_DEPTH_W_40_CM,SURVEY_SOIL_ORG_TAKEN,SURVEY_SOIL_ORG_DEPTH_CANDO
42703640,2,2,2,2,2,2,,,,,,,1
42763506,1,30,20,,30,,,,,,,,1
42903450,1,,,,,15,1,,1,,,,1
43002704,2,,,,,,1,1,,1,,,1
43143802,1,25,25,25,25,25,,,,,,,1
43163742,2,20,20,40,40,20,,,0,0,,,1
43423190,2,10,8,,8,,,,,,,,1
43423808,2,25,25,25,25,25,,,,,,,1
43562776,1,,,,,,1,1,,1,0,,1
43663264,2,5,10,,10,,,,0,,0,,1
43802684,1,18,38,,18,,,,,,,,1
43802766,1,32,33,38,41,41,,,,0,0,,1
43942550,2,,,,,,1,0,0,1,1,,1
43962526,2,3,3,,2,,0,0,0,0,0,,1
44042690,2,10,11,9,13,12,,,,,,,1
44043946,2,41,41,,,41,,,,,,,1
44063962,2,41,41,41,,,,,,,,,1
44083936,2,41,20,,,20,,0,,,,,1
44142686,2,9,11,10,14,6,,,,,,,1
44143298,2,,,,,,1,1,1,1,1,,1
44163950,2,41,,41,41,,,,,,,,1
44304076,2,,,,,,1,1,,1,,,1
44343882,1,20,30,,,30,,,,,,,1
44343932,2,41,,41,41,,,,,,,,1
44384020,2,13,8,,4,,,,,,,,1
44464330,2,25,28,,30,,,,,,,,1
44483900,2,30,40,40,40,40,,0,0,0,0,,1
44483918,2,,,,,,1,1,,1,,,1
44564074,2,19,20,,15,,,,,,,,1
44564196,2,,,,,,1,1,,1,,,1
44604016,2,,,,,,1,1,1,1,1,,1
44604174,2,8,15,,22,,,,,,,,1
44644216,2,,,,,,1,1,,1,,,1
44644288,2,0,0,,3,,,,,,,,1
44644312,2,,,,,,1,1,,1,,,1
44662634,2,10,15,14,,12,0,0,0,0,0,,1
44663900,2,41,41,,41,,,,,,,,1
44663914,2,,,,,,,1,1,1,,,1
44704098,2,,,,,,1,,1,1,,,1
44743884,2,10,11,7,,,,,,,,,1
44744146,2,,,,,,1,1,,1,,,1
44744286,2,,,,,,1,1,,1,,,1
44763430,1,,,,,,1,1,1,1,1,,1
44804256,2,2,2,,2,,,,,,,,1
44823784,2,30,40,,30,,,,,,,,1
44844188,2,,,,,,1,1,,1,,,1
44844202,2,,,,,,1,1,,1,,,1
44864504,2,,,41,,41,,,,,,,1
44884264,2,25,27,,,22,,,,,,,1
44884300,2,,,,,,1,1,,1,,,1
44904150,2,,,,,,1,1,,1,,,1
44924218,2,,,,,,1,1,,1,,,1
44924250,2,,,,,,1,1,,1,,,1
44943808,2,,,,,,1,1,1,,,,1
44944234,2,0,3,,1,,,,,,,,1
44964210,2,,,,,,1,1,,1,,,1
44983792,2,10,7,10,,,,,,,,,1
44984184,2,,,,,,1,1,,1,0,,1
44984224,2,,,,,,1,1,,1,,,1
45024266,2,,,,,,1,1,1,,,,1
45083772,2,21,,27,20,,0,,0,0,,,1
45084168,2,,39,,,,1,,,1,,,1
45103668,2,17,21,24,13,10,,,,,,,1
45104262,2,7,6,,7,,,,,,,,1
45104524,2,41,41,,41,,,,,,,,1
45123798,2,,,,,,1,1,1,,,,1
45124198,2,,,,,,1,1,1,,,,1
45124216,2,,,4,4,22,,,,,,,1
45124366,2,41,41,41,41,41,,,,,,,1
45143742,2,,,,,,1,,1,1,,,1
45143760,2,,,,,,1,1,,1,,,1
45144124,2,10,11,,8,,,,,,,,1
45144178,2,,,,,,1,1,,1,,,1
45163900,2,17,11,10,,,,,,,,,1
45164476,2,41,41,,,41,,,,,,,1
45183928,2,23,19,,21,,,,,,,,1
45203744,2,20,,30,,20,,,,,,,1
45203896,2,13,20,,10,,,,,,,,1
45223676,2,33,27,33,24,35,,,,,,,1
45242564,2,,,,,,1,0,1,1,0,,1
45242722,1,41,41,,41,,,,,,,,1
45243760,2,,,,,,1,1,1,,,,1
45243778,2,30,,,30,30,,,,,,,1
45303802,2,,,,,,1,1,1,,,,1
45304198,2,,,,,,1,1,,1,,,1
45304234,2,1,8,1,,,,,,,,,1
45304456,2,41,41,,,41,,,,,,,1
45324052,2,24,33,,39,,,,,,,,1
45343720,2,20,,,20,25,,,,,,,1
45343824,2,12,,10,10,,,,,,,,1
45343878,2,25,,22,,41,,,,,,,1
45363718,2,23,,24,23,,,,,,,,1
45364072,2,,20,30,,,1,,,,,,1
45364600,2,,,,,,1,,1,,1,,1
45383780,2,,,,,,1,1,1,,,,1
45383878,2,7,6,,4,,,,,,,,1
45383972,2,11,11,,14,,,,,,,,1
45384152,2,,,,,,1,1,1,,,,1
45384472,2,41,,,41,41,,,,,,,1
45424490,2,41,41,,,41,,,,,,,1
45463704,2,,,,,,1,1,,1,1,,1
45463782,2,30,27,36,,,,,,,,,1
45463966,2,22,32,22,,,,,,,,,1
45483694,2,25,,25,,25,,,,,,,1
45483730,2,25,,,25,30,,,,,,,1
45484162,2,,,,,,1,1,1,,,,1
45504232,2,,,,,,1,1,,1,,,1
45504246,2,4,8,19,,,,,,,,,1
45504502,2,41,41,,41,,,,,,,,1
45523324,2,2,2,,2,,,,,,,,1
45523716,2,25,30,,30,,,,,,,,1
45523720,2,25,25,,20,,,,,,,,1
45523770,2,30,40,,40,,,0,0,0,,,1
45524418,1,,,,41,41,,,,,,,1
45524490,2,41,41,,,41,,,,,,,1
45524598,2,4,,,3,6,,,,,,,1
45524746,2,1,1,,1,,,,,,,,1
45543988,2,8,6,9,,,,,,,,,1
45563968,1,0,0,,0,,,,,,,,1
45563972,2,22,18,,3,,,,,,,,1
45564112,2,6,7,12,,,,,,,,,1
45584576,2,,4,,,,1,,,1,,,1
45603698,2,17,15,18,8,19,,,,,,,1
45604152,2,,,,,,1,1,1,,,,1
45604462,2,41,41,,41,,,,,,,,1
45643098,2,6,,,,5,,,,,,,1
45644136,1,,,,,,1,1,1,,,,1
45644236,2,0,0,30,,,,,,,,,1
45662938,2,6,7,,,7,,,,,,,1
45683638,2,,,,,,1,1,1,,,,1
45683670,2,,,23,25,15,,,,,,,1
45684264,2,,,,,,1,1,1,,,,1
45684484,2,41,,41,,41,,,,,,,1
45702780,1,7,11,,8,,,,,,,,1
45703720,2,20,10,,27,,,,,,,,1
45704188,2,,,,,,1,1,,1,,,1
45704242,2,10,15,,30,,,,0,,,,1
45724000,2,,,,,,1,1,,1,,,1
45742568,2,10,10,,10,,0,0,0,0,0,,1
45744008,2,12,,,18,13,,,,,,,1
45764414,2,41,41,,41,,,,,,,,1
45764630,2,,5,,,5,1,,,,,,1
45784130,2,,,,,,1,1,1,,,,1
45784174,2,,,,,,1,1,,1,,,1
45784670,2,15,5,,,4,,,,,,,1
45784746,2,8,5,,4,,,,,,,,1
45822828,2,4,5,3,5,3,,,,,,,1
45823686,2,5,12,,3,,,,,,,,1
45824316,2,41,41,41,41,41,,,,,,,1
45844198,2,8,10,,14,,,,,,,,1
45844294,2,41,41,41,41,41,,,,,,,1
45864066,2,5,15,8,,,,,,,,,1
45883738,2,20,25,20,,,,,,,,,1
45884530,2,,,,,,1,1,,,1,,1
45903754,2,,,,,,1,1,1,,,,1
45903844,2,20,,20,,20,,,,,,,1
45904000,2,37,,41,,41,0,,0,,0,,1
45904078,2,22,29,,,30,,,,,,,1
45904126,2,,,,,,1,1,1,,,,1
45923756,2,6,5,6,,,,,,,,,1
45924530,2,,,20,,5,1,,,,,,1
45943784,2,,,,,,1,1,1,0,,,1
45944144,2,20,20,,,15,,,,,,,1
45944666,2,2,2,3,,,,,,,,,1
45964058,2,15,10,14,,,,,,,,,1
46002900,2,18,17,,25,,,,,,,,1
46003740,2,11,7,13,,,,,,,,,1
46003894,2,,,,,,1,,1,,1,,1
46004196,2,,30,,36,,1,,,,,,1
46004452,2,,,,,,1,1,1,,,,1
46004610,2,30,,30,,20,,,,,,,1
46004640,2,3,7,,3,,,,,,,,1
46023718,2,20,20,,25,,,,,,,,1
46023838,2,20,20,20,,,,,,,,,1
46024108,2,17,26,40,20,22,,,,,,,1
46024420,2,20,10,,20,,,,,,,,1
46024708,2,10,10,,31,,,,,,,,1
46024720,2,2,5,,3,,,,,,,,1
46043058,2,,,,,,1,,,1,1,,1
46043868,2,,,,,,1,1,1,,,,1
46044606,2,2,3,,3,,,,,,,,1
46044700,2,3,,,4,6,,,,,,,1
46063684,2,,,,,,1,1,1,,,,1
46064040,2,,,,,,1,1,1,1,1,,1
46064098,2,16,14,10,,,,,,,,,1
46064580,2,20,15,,15,,,,,,,,1
46083988,2,,,,,,1,1,,1,,,1
46084600,2,5,4,,3,,,,,,,,1
46102852,2,12,28,,13,,,,,,,,1
46103702,2,,,,,,1,1,1,,,,1
46103738,2,12,10,8,,,,,,,,,1
46103878,2,13,13,14,,,,,,,,,1
46104554,2,,,,,,1,1,,1,,,1
46143994,2,,,,,,1,1,,1,,,1
46144030,2,13,12,13,,,,,,,,,1
46144062,2,10,10,,10,,,,,,,,1
46144472,2,5,3,10,23,41,,,,,0,,1
46144602,2,5,5,,5,,,,,,,,1
46163088,2,15,,17,10,,,,,,,,1
46163970,2,10,11,,7,,,,,,,,1
46183872,2,27,27,,25,,,,,,,,1
46183974,2,10,10,,9,,,,,,,,1
46184542,2,40,25,,40,,0,0,,0,,,1
46202584,2,10,20,15,15,15,0,0,0,0,0,,1
46203862,2,32,18,,18,,,,,,,,1
46203964,2,12,10,,11,,,,,,,,1
46204672,1,15,10,,5,,,,,,,,1
46223706,2,20,22,23,,,,,,,,,1
46223850,1,32,,29,,40,,,,0,0,,1
46224250,2,,,,,,1,1,,1,,,1
46224444,2,,10,5,10,,,,,,,,1
46224592,2,10,,,5,4,,,,,,,1
46244530,2,,30,,30,,1,,,,,,1
46263910,2,,,,,,1,,1,1,,,1
46263982,2,,,,30,,1,1,,,,,1
46264636,2,8,5,,5,,,,,,,,1
46283888,2,13,13,14,,,,,,,,,1
46284436,2,,,,,,1,1,,1,,,1
46303856,2,,,,,,1,1,,1,,,1
46303946,2,10,19,,14,,,,,,,,1
46304594,2,3,3,,5,,,,,,,,1
46323756,2,8,10,12,,,,,,,,,1
46323860,2,21,20,,21,,,,,,,,1
46323900,2,9,,,8,6,,,,,,,1
46323954,2,,,,,,1,1,,1,,,1
46324552,2,10,20,,5,,,,,,,,1
46343718,2,,,,,,1,1,,1,,,1
46363728,2,11,13,18,,,,,,,,,1
46363782,2,10,11,10,,,,,,,,,1
46364028,2,22,40,21,,,,,,,,,1
46364146,2,12,10,10,,,,,,,,,1
46364290,2,15,13,,,17,,,,,,,1
46364622,2,5,5,,5,,,,,,,,1
46383708,2,6,7,7,,,,,,,,,1
46383790,2,9,7,9,,,,,,,,,1
46383808,2,,,,,,1,1,1,,,,1
46384288,2,10,9,,10,,,,,,,,1
46403404,2,14,11,,15,,,,,,,,1
46403760,2,,,,,,1,1,1,0,,,1
46403800,2,,,,,,1,1,1,,,,1
46404012,2,,,,,,1,1,1,,,,1
46422762,2,6,3,6,8,7,,,,,,,1
46423788,2,9,12,9,,,,,,,,,1
46424602,2,,20,,25,,1,,,,,,1
46443448,1,,,,,,1,1,,1,,,1
46444288,2,9,,11,18,,,,,,,,1
46444342,2,12,10,13,,,,,,,,,1
46444702,2,31,22,,16,,,,,,,,1
46463828,2,3,4,8,,,,,,,,,1
46464140,1,40,25,20,16,28,,,,,,,1
46464292,2,3,,6,4,,,,,,,,1
46483856,2,17,,15,13,,,,,,,,1
46503706,2,12,10,7,,,,,,,,,1
46503716,2,,,,,,1,1,1,0,,,1
46504238,2,,,,,,1,1,1,,,,1
46522628,1,40,35,30,,,,,,,,,1
46523772,2,11,13,12,,,,,,,,,1
46543804,2,,,,,,1,1,0,1,,,1
46543926,2,17,22,24,,,,,,,,,1
46544236,2,7,22,,9,,,,,,,,1
46544286,2,,,,,,1,1,1,,,,1
46544574,2,5,10,,5,,,,,,,,1
46584268,2,,,,,,1,1,1,,,,1
46603720,2,10,9,14,,,,,,,,,1
46604310,2,,,,28,,1,,1,,,,1
46604796,2,,,,,,1,1,,1,,,1
46623916,2,15,23,16,15,13,,,,,,,1
46623964,1,38,35,20,,,,,,,,,1
46624108,2,,,,,,1,1,1,1,1,,1
46624330,2,6,,3,,8,,,,,,,1
46643918,2,24,22,,,28,,,,,,,1
46644206,2,6,8,11,,,,,,,,,1
46644248,2,4,5,14,,,,,,,,,1
46644580,2,,,,,,1,1,,1,,,1
46664432,2,41,41,41,,,,,,,,,1
46664558,2,10,10,,20,,,,,,,,1
46664594,2,15,10,,15,,,,,,,,1
46684188,2,,12,,14,17,,,,,,,1
46684436,2,41,41,41,,,,,,,,,1
46684616,2,,20,,,,1,,,1,,,1
46703970,2,11,25,18,16,11,,,,,,,1
46723938,2,10,10,,13,10,,,,,,,1
46724182,2,,8,11,6,7,,,,,,,1
46724550,1,,,,,,1,1,1,,,,1
46744240,2,21,20,36,,,,,,,,,1
46744276,2,30,23,13,,,,,,,,,1
46744302,2,,,,34,,1,1,,,,,1
46763706,2,8,10,9,,,,,,,,,1
46764196,2,,,,,,1,1,,1,,,1
46764246,2,,,,,,1,1,1,,,,1
46764264,2,13,9,15,,,,,,,,,1
46784278,2,,6,11,8,,,,,,,,1
46784292,2,,,,,,1,1,,1,,,1
46804126,2,4,6,,4,,,,,,,,1
46823810,2,8,9,,,8,,,,,,,1
46823996,2,,,,,,1,1,1,,,,1
46824490,2,0,0,0,0,0,,,,,,,1
46842974,2,5,3,,8,,,,,,,,1
46863688,2,,,,,,1,1,1,,,,1
46864112,2,7,11,,12,,,,,,,,1
46864156,2,,,,11,,,,,,,,1
46864206,2,7,12,6,,10,,,,,,,1
46864282,2,11,9,11,,,,,,,,,1
46864444,2,0,2,0,2,2,,,,,,,1
46864750,2,9,15,,27,,,,,,,,1
46884150,2,20,15,,10,,,,,,,,1
46903866,2,,,,,,1,1,1,,,,1
46903998,2,,,,,,1,1,1,,,,1
46904046,2,19,,23,21,,,,,,,,1
46904226,2,,,,,,1,1,,1,,,1
46904448,2,5,2,4,3,4,,,,,,,1
46904460,2,1,0,1,1,1,,,,,,,1
46904484,2,0,0,0,0,0,,,,,,,1
46923808,2,19,11,22,,,,,,,,,1
46923892,2,10,13,,,12,,,,,,,1
46924546,2,30,30,17,,,,,,,,,1
46942846,1,5,4,5,,,,,,,,,1
46943850,2,10,10,,,11,,,,,,,1
46944268,2,,,,,,1,1,1,,,,1
46944516,2,20,7,5,,,,,,,,,1
46944538,2,,,21,,,1,1,,1,1,,1
46963306,1,28,28,,28,,,,,,,,1
46963846,2,,,,,,1,1,1,,,,1
46964278,2,,,,,,1,1,1,,,,1
46964364,2,,,,,,1,1,1,1,1,,1
46982766,2,6,,,,,,,,,,,1
46983928,2,,,,,,1,1,1,,,,1
46984168,2,,,17,2,,,,,,,,1
46984252,2,17,9,12,,,,,,,,,1
46984636,2,,,,,,1,1,,1,,,1
47003968,2,13,15,35,,,,,,,,,1
47004152,2,26,15,,24,,,,,,,,1
47004620,2,,,,,,1,1,,1,0,,1
47004710,2,2,3,,8,,,,,,,,1
47024090,1,22,,,24,31,,,,,,,1
47024648,2,,,,,,1,1,1,1,1,,1
47043788,2,26,22,,,23,,,,,,,1
47044206,2,,,,,,1,1,,1,,,1
47044246,2,29,30,27,,,,,,,,,1
47044260,2,10,26,19,,,,,,,,,1
47044350,2,7,6,,9,,,,,,,,1
47044440,2,41,41,41,41,41,,,,,,,1
47044480,2,1,1,1,1,1,,,,,,,1
47044548,2,,,,,,1,1,1,1,1,,1
47044570,2,20,20,,20,,,,,,,,1
47044660,2,,,,,,1,1,1,1,1,,1
47082562,2,20,16,,18,,0,0,0,0,0,,1
47083048,2,7,5,,9,,,,,,,,1
47083830,2,19,39,,39,,,0,,0,,,1
47084196,2,,,,,,1,1,1,0,1,,1
47084448,2,41,41,41,41,41,,,,,,,1
47084488,2,36,26,36,32,21,,,,,,,1
47104078,2,14,11,,,4,,,,,,,1
47104230,2,19,20,,22,,,,,,,,1
47104518,2,,,,,,1,1,1,1,1,,1
47104672,2,17,26,,25,,,,,,,,1
47123836,2,20,,19,20,,,,,,,,1
47143068,2,8,9,14,,,,,,,,,1
47143954,2,11,16,12,,,,,,,,,1
47144130,2,,,,,,1,1,0,1,0,,1
47164216,2,15,16,,33,,,,,0,,,1
47164540,2,,,,,,1,1,1,1,,,1
47184476,2,0,0,0,0,0,,,,,,,1
47184572,2,10,15,,15,,,,,,,,1
47184602,2,30,20,,20,,,,,,,,1
47224120,2,35,35,,32,,,,,,,,1
47224454,2,5,6,1,3,5,,,,,,,1
47244024,2,,,,,,1,1,1,,,,1
47264160,2,30,35,30,15,,,,,,0,,1
47264416,2,23,15,13,,,,,,,,,1
47264650,2,,,,,,1,1,,1,,,1
47264686,2,,,,,,1,1,,1,,,1
47264704,2,,,,15,,1,1,,,,,1
47284486,2,8,30,12,5,6,,,,,,,1
47284770,2,8,5,,10,,,,,,,,1
47304120,2,25,28,,25,,,,,,,,1
47304588,2,2,2,,3,,,,,,,,1
47304682,2,6,9,,8,,,,,,,,1
47342596,2,,,,,,0,0,0,0,0,,1
47344504,2,19,15,15,19,21,,,,,,,1
47364554,2,,,,,,1,1,1,,,,1
47382614,2,6,7,5,7,4,0,0,0,0,0,,1
47384540,2,37,41,25,,,,0,,0,,,1
47402702,2,14,,,20,18,,,,0,0,,1
47404130,2,20,18,,25,,,,,,,,1
47404156,2,25,39,,,30,,,,,,,1
47404436,2,8,5,20,,,,,,,,,1
47404678,2,,,,,,1,1,,1,,,1
47404854,2,9,6,,10,,,,,,,,1
47443326,2,35,32,28,30,30,,,,,,,1
47444124,2,25,15,,20,,,,,,,,1
47464150,1,20,25,41,,,,,0,,,,1
47464464,2,10,1,2,,,,,,,,,1
47504526,2,5,20,12,,,,,,,,,1
47522710,1,15,,10,,15,,0,,0,,,1
47524150,2,19,10,,22,,,,,,,,1
47542970,2,13,,,18,18,,,,,,,1
47542978,2,7,,7,,7,,,,,,,1
47544130,2,10,15,,22,,,,,,,,1
47544854,2,9,8,,14,,,,,,,,1
47584120,2,5,10,,8,,,,,,,,1
47584494,2,10,10,20,16,20,,,,,,,1
47584660,2,11,17,,16,,,,,,,,1
47584850,2,,16,,7,,1,,,,,,1
47623092,2,,,,,,1,1,,1,,,1
47624704,2,3,1,,3,,,,,,,,1
47624848,2,7,22,,16,,,,,,,,1
47644068,2,,,,,8,,,,,,,1
47644756,2,4,3,,12,,,,,,,,1
47664156,2,21,23,,26,,,,,,,,1
47704864,2,8,7,,6,,,,,,,,1
47724116,2,19,19,,14,,,,,,,,1
47724140,1,18,23,,23,,,,,,,,1
47724158,2,22,19,,20,,,,,,,,1
47744090,2,11,,8,9,,,,,,,,1
47744096,2,4,6,,3,,,,,,,,1
47744126,2,5,4,,5,,,,,,,,1
47744144,2,7,8,,6,,,,,,,,1
47744522,1,39,39,40,,,,,,,,,1
47744792,2,,,,,,1,1,,1,0,,1
47744918,2,1,5,,6,,,,,,,,1
47764062,2,12,,,14,,,,,,,,1
47764076,2,5,5,,5,,,,,,,,1
47764156,2,15,15,,15,,,,,,,,1
47804160,2,23,20,,25,,,,,,,,1
47804506,2,35,40,40,30,39,,,,,,,1
47804712,1,,,,,,1,1,,1,,,1
47804758,2,10,11,,18,,,,,,,,1
47804820,2,5,4,,6,,,,,,,,1
47824024,2,9,12,14,7,,,,,,,,1
47824536,2,,,,,,1,1,1,1,1,,1
47824698,2,,,,,,1,1,,1,,,1
47844048,2,5,8,10,9,6,,,,,,,1
47844732,2,11,7,,12,,,,,,,,1
47864116,2,,,,,,1,1,,1,,,1
47864868,2,13,23,,17,,,,,,,,1
47884100,1,20,20,20,,,,,,,,,1
47884132,2,7,16,10,13,,,,,,,,1
47884558,2,24,40,31,,,,0,0,,,,1
47884654,2,,,,,,1,1,,1,,,1
47884996,2,4,3,,5,,,,,,,,1
47904908,2,,,,,,1,1,1,1,1,,1
47942086,2,15,15,16,17,15,0,0,0,0,0,,1
47944530,2,28,22,24,20,26,,,,,,,1
47944760,2,,,,,,1,1,,1,,,1
47984902,2,4,2,,2,,,,,,,,1
48004104,1,20,18,22,25,,,,,,,,1
48004522,2,13,14,10,10,14,,,,,,,1
48004600,2,,,,,,1,1,,1,,,1
48004986,2,20,10,,10,,,,,,,,1
48024138,2,20,18,,21,,,,,,,,1
48024538,2,20,23,12,15,24,,,,,,,1
48064546,2,20,10,10,,,,,,,,,1
48084098,2,26,24,,,21,,,,,,,1
48084698,2,,,,,,1,1,,1,,,1
48084764,2,9,17,,13,,,,,,,,1
48084886,2,10,11,,14,,,,,,,,1
48123828,2,32,40,,31,,,0,0,,,,1
48124868,2,,,,,,1,1,1,1,1,,1
48164838,2,13,,15,9,,,,,,,,1
48183838,2,37,40,,35,,,0,,,,,1
48184608,2,22,38,30,,,,,,,,,1
48204804,2,15,14,,9,,,,,,,,1
48205038,2,13,12,,15,,,,,,,,1
48222100,2,14,12,14,11,13,0,0,0,0,0,,1
