POINTID,predict
47862690,3.563967987449026
47882704,3.5097775742945188
47982688,3.6720006230401765
48022702,3.5576657973391828
48062708,3.91526427894834
48122730,3.678997003590737
48202738,3.680108993119342
48222780,3.7173861645389805
48342774,3.409566522536892
48442784,4.02852421353675
48462776,3.899844971496563
48482762,3.2911424120675328
46562790,3.916964691840919
46662780,3.6217833971526634
46662794,3.447798192650288
46722786,3.973003479916871
46722792,3.8285256582904617
46782766,3.3945247887859926
46782778,3.52525023980648
46842852,3.405241714480833
46862842,3.8899448968224792
46942756,3.094915652631593
46942842,3.9588345849455555
46942846,3.262940511524508
46942878,3.3951783139199474
46982766,3.508300298090019
47002806,3.681427539064483
47002816,3.085483423631988
47022848,3.933360418847058
47022884,3.2888142485904126
47042780,3.632920386480049
47042788,3.027068170521811
47042874,3.89294383080424
47082754,3.12488656739458
47082776,3.676464718360538
47082858,4.008859139093346
47102754,3.3916024240811957
47122762,3.5541723667355853
47122882,4.032552524730636
47182762,3.374281785630046
47182802,3.5063758059352157
47182862,4.045710892695248
47202790,3.88681511330509
47202848,3.7033394893794136
47222878,3.3522943932223095
47242764,3.502516956637546
47242774,3.15549101237062
47282790,4.018543018508377
47302860,3.4586099077088983
47322802,3.891464975735747
47362808,3.78804690091153
47362862,3.7065355774164415
47402780,3.24417013691908
47422872,3.288170373446518
47462794,3.206997772374075
47462830,3.5678420308865224
47482810,3.6948778775778415
47482864,3.422421835431364
47502772,3.661922669839883
47522746,3.7651997353219784
47522800,3.481968195255085
47522858,3.6314672160985353
47522872,4.311262975418373
47582744,3.5195579290432613
47602836,3.246615295906145
47622754,3.3870394324802118
47642808,3.8543730671517262
47642862,3.75017670914995
47662810,3.806401382849324
47662860,3.8312605458339193
47682754,3.6017222340300066
47702818,3.935676286298053
47722780,3.706998203607385
47722816,3.837841966074227
47742758,3.319431732919213
47742848,3.097585918854654
47762734,3.700967903635776
47782854,3.556648583218614
47802732,3.768214587873695
47802746,3.139986828547293
47802840,3.7502079993613595
47822764,3.2195129424724414
47822830,3.877063498698987
47822862,3.91350494423422
47862838,3.674040951022535
47882830,3.4963945008263537
47882836,3.827003767967187
47942726,3.499305040239649
47942784,3.2236162043191894
47942860,3.9015934537291814
47942870,3.8105931685597683
47982796,3.3307934940984367
47982822,3.868321653292179
47982846,3.5464244128118843
47982850,3.6281390848097184
48002836,3.7755616394079237
48002872,3.5224789176357296
48082834,3.7478831860191613
48082844,4.136594762339974
48122780,3.7574879816385773
48122798,3.6322614347235844
48162858,3.8657289389140215
48182826,3.461966463320775
48182862,3.560809798236589
48202842,3.973779221542912
48222820,3.5759211996300433
48242800,3.3471226610127354
48262816,4.006991789048404
48282804,3.157261605485804
48282866,3.5257607048463466
45362624,3.260453772800523
45382662,3.09149206696601
45402624,3.4063950651714925
45482622,3.4699989037039045
45542620,3.543132001603834
45642652,3.8390917019501747
45642656,3.4625761947010365
45682634,3.135152915959377
45722612,3.302285162383136
45722614,3.212984764405493
45842658,3.7291558370252345
45882618,3.549051514187322
45902624,3.8268045568466738
45962662,3.5072533792711353
46022620,3.330672751307369
46022632,3.22875969781779
46062628,3.3081410087124126
46082614,3.732942224841583
46122616,3.465296423105868
46182646,3.6659552961592046
46202640,3.081495273486927
46262642,3.3657600266650194
46342650,3.4967970621485835
46362660,2.9483805074117697
46402652,3.282333527521983
46422624,4.230246811251483
46442642,3.3411008368381054
46462636,4.041311772811638
46482614,3.9211936094680113
46502658,3.851354234121723
46522626,3.5662233633638034
46522628,4.0546539752996535
46522640,3.7307601451706214
46542614,3.5542734609194757
46562632,3.543827150110554
46562646,3.8268686407995918
46582638,3.801343161635879
46602618,3.7453951639105547
46622648,3.275252410791487
46642626,3.9296063783380215
46682636,3.3291754088703964
46722638,3.5105804736058994
46722642,3.802656936838139
46762666,3.2969893196932554
46782664,3.257633427503971
46802648,3.114039294352976
46842660,2.8934232856682596
46862662,4.013322846004479
46882650,3.5758648358507035
46882664,3.8344670582878932
46882668,3.1003738465299113
46982642,3.1332661146195853
46982660,3.238070063296409
47002640,3.072867440700093
47022632,3.636299013773935
47022650,3.5226026182485493
47042630,3.149825218948556
47042658,3.1105400117169384
47082630,2.999190768647946
46022704,2.7686117748516326
46042706,3.995716547964181
46102726,3.2558573083864473
46142734,3.1694519336012146
46182714,3.7660206378114665
46202682,3.275523837957541
46222728,3.678329332549274
46242712,3.5869844325580678
46262660,3.018670197999004
46282726,3.3158213390983935
46302682,3.040075395214466
46362688,3.4011267089582273
46382686,3.5537604353810632
46402674,4.00671417672868
46402688,3.6617210882723947
46422672,3.3575003349226886
46422682,3.779729646663392
46422690,3.399805852081355
46442684,3.6704075470079727
46442692,3.0839000908755976
46442702,3.1544360715221256
46442710,3.241746082987222
46462726,3.2494255206181406
46502720,2.969577238514053
46522674,3.265822862405358
46522722,3.634237325035328
46562692,2.8521223005560046
46562722,3.1035786479067657
46602676,3.1611826216093286
46602700,3.5690777766147894
46622668,3.731277644183402
46622720,3.527209170089125
46642712,3.071737775874573
46642736,3.366501803842583
46662682,3.1801780160970967
46682698,3.4918034142766428
46702674,3.3448224141594345
46742676,3.8269443389069058
46762724,4.124557405678846
46782690,3.6832517675483882
46842692,3.3093597950725786
46842710,3.941056945622783
46862694,3.01177852463043
46882726,3.3503392441980577
46942670,3.293637715915755
46942692,3.3549691088387936
46942710,3.4445869536255422
